surge_band,completion_rate,fare_per_km,q_change_pct,p_change_pct,arc_elasticity
1.25x,0.9595802565099106,25.747719913401955,4.125347084490279,14.132218382024767,0.29191079368950623
1.5x,0.9035647279549719,29.57451843452983,10.132071752414742,27.830762193660874,0.36406016054862356
1.75x,0.9133079847908745,33.052440458380524,9.062003179650242,38.638958385657126,0.23453021401876295
2.0x,0.8154996066089694,36.912832856388526,20.32502708559046,49.150199848120444,0.4135288798091777
2.5x,0.8199270493376848,41.703731463875286,19.789029535864977,60.433161040382885,0.3274531597419085
